date,parlay,bookie,sport,selection,bet_type,capper,competition,extra_info,event,live,score,units,odd,free_bet,result,lucro_unidade,lucro_monetario,unidade_vigente
2025-03-29,S,,,Furia,ML,,Kings League Brazil,Fase de Liga,Dendele v Furia,N,2-6,,,N,w,,,15.0
2025-03-29,S,,,Capim,ML,,Kings League Brazil,Fase de Liga,Capim v Funkbol,N,6-4,,,N,w,,,15.0
2025-03-29,S,,,Loud,ML,,Kings League Brazil,Fase de Liga,Loud v Fluxo,N,8-4,,,N,w,,,15.0
2025-03-29,S,,,G3X,ML,,Kings League Brazil,Fase de Liga,Real Elite v G3X,N,3-4,,,N,w,,,15.0
2025-03-30,N,Betano,Tenis,2 seleções,Dupla,EU,,,,N,,1.0,1.79,N,W,0.79,11.85,15.0
2025-03-30,S,,,Luciano Darderi,ML,,Challenger Tour,Napoli 125 - SF,Luciano Darderi v Dalibor Svrcina,N,2-1,,,N,W,0.8500000000000001,17.0,15.0
2025-03-30,S,,,Aryna Sabalenka,ML,,WTA Tour,Miami 1000 - F,Aryna Sabalenka v Jessica Pegula,N,2-0,,,N,w,,,15.0
2025-03-30,N,Betano,Tenis,1° set - Jakub Mensik +1.5,Handicap games,Sam Culmer,ATP Tour,Miami 1000 - F,Jakub Mensik v Novak Djokovic,N,2-0,1.0,2.25,N,W,1.25,18.75,15.0
2025-03-30,N,bet365,Tenis,1° set - Over 10.5,O/U games,Sam Culmer,ATP Tour,Miami 1000 - F,Jakub Mensik v Novak Djokovic,N,2-0,1.0,3.0,N,W,2.0,30.00,15.0
2025-03-30,N,Betano,Tenis,1° set - Jakub Mensik,Set ML,Sam Culmer,ATP Tour,Miami 1000 - F,Jakub Mensik v Novak Djokovic,N,2-0,0.5,3.2,N,W,1.1,16.50,15.0
2025-03-31,N,bet365,Kings League,Dendele,ML,,Kings League Brazil,Fase de Liga,Dendele v Fluxo,N,(1)3-3(2),0.5,2.75,N,L,-0.5,-7.50,15.0
2025-03-31,N,Superbet,Kings League,Funkbol,ML,,Kings League Brazil,Fase de Liga,Desimpedidos Goti v Funkbol,N,3-2,0.5,2.05,N,L,-0.5,-7.50,15.0
2025-03-31,N,Superbet,Kings League,Sim,Ambos presidentes marcam,,Kings League Brazil,Fase de Liga,G3X v Capim,N,3-1,1.0,1.8,N,W,1.0,12.00,15.0
2025-03-31,N,Superbet,Kings League,Até 0:59,Minutagem do gol,,Kings League Brazil,Fase de Liga,Furia v Real Elite,N,4-2,1.0,1.95,N,L,-1.0,-15.00,15.0
2025-03-31,N,bet365,Tenis,Learner Tien,ML,EU,ATP Tour,Houston 250 - R32,Alex Michelsen v Learner Tien,N,2-0,1.0,2.3,N,L,-1.0,-15.00,15.0
2025-04-01,N,Betano,Tenis,1° set - Valentin Vacherot,ML,Sam Culmer,ATP Tour,Bucharest 250 - R32,Valentin Vacherot v Damir Dzumhur,N,0-2,0.6667,2.15,N,L,-0.6667,-10.00,15.0
2025-04-01,N,Betano,Tenis,Valentin Vacherot,ML,,ATP Tour,Bucharest 250 - R32,Valentin Vacherot v Damir Dzumhur,N,0-2,1.0,2.12,N,L,-1.0,-15.00,15.0
2025-04-01,N,Betano,Tenis,Filip Misolic,ML,Sam Culmer,ATP Tour,Bucharest 250 - R32,Akexander Shevchenko v Filip Misolic,N,0-2,1.0,1.82,N,W,0.82,12.30,15.0
2025-04-01,N,betfair,Tenis,1° set - Kamil Majchrzak,Set ML,Sam Culmer,ATP Tour,Marrakesh 250 - R32,Kamil Majchrzak v Jaume Munar,N,2-0,1.0,2.5,N,W,1.5,22.50,15.0
2025-04-02,N,betfair,Tenis,1° set - Filip Misolic,Set ML,Sam Culmer,ATP Tour,Bucharest 250 - R16,Camilo Ugo Carabelli v Filip Misolic,N,0-2,1.0,2.3,N,W,1.3,19.50,15.0
2025-04-04,N,betfair,Tenis,1° set - Filip Misolic,ML,Sam Culmer,ATP Tour,Bucharest 250 - QF,Filip Misolic v Flavio Cobolli,N,0-2,1.0,2.05,N,L,-1.0,-15.00,15.0
2025-04-04,N,betfair,Tenis,Filip Misolic,ML,Sam Culmer,ATP Tour,Bucharest 250 - QF,Filip Misolic v Flavio Cobolli,N,0-2,1.0,2.15,N,L,-1.0,-15.00,15.0
2025-04-04,N,Betano,Tenis,Damir Dzumhur,ML,Wags,ATP Tour,Bucharest 250 - QF,Damir Dzumhur v Pedro Martinez,N,1-0 RET,1.0,2.12,N,W,1.12,16.80,15.0
2025-04-04,N,Superbet,Tenis,1° set - Kamil Majchrzak,Set ML,Sam Culmer,ATP Tour,Marrakesh 250 - QF,Alexandre Muller v Kamil Majchrzak,N,0-2,1.0,2.1,N,W,1.1,16.50,15.0
2025-04-04,N,Superbet,Tenis,Kamil Majchrzak,ML,Sam Culmer,ATP Tour,Marrakesh 250 - QF,Alexandre Muller v Kamil Majchrzak,N,0-2,1.0,2.17,N,W,1.17,17.55,15.0
2025-04-04,N,betfair,Tenis,Aleksandar Kovacevic,ML,Bonfa,ATP Tour,Houston 250 - QF,Jenson Brooksby v Aleksandar Kovacevic,N,2-1,1.0,2.1,N,L,-1.0,-15.00,15.0
2025-04-04,N,bet365,Futebol,2 seleções,Dupla,,Saudi Pro League,Liga,Al Hilal v Al Nassr,N,1-3,4.6667,2.0,N,L,-4.6667,-70.00,15.0
2025-04-04,S,,,Cristiano Ronaldo - Over 0.5,O/U chutes no gol,,,,,N,,,,N,w,,,15.0
2025-04-04,S,,,Malcom - Over 0.5,O/U chutes no gol,,,,,N,,,,N,l,,,15.0
2025-04-04,N,Superbet,Futebol,Harry Kane - Over 1.5,O/U chutes no gol,,Bundesliga,Liga,Augsburg v Bayern Munich,N,1-2,1.3333,2.12,N,W,1.4933,22.40,15.0
2025-04-04,N,betfair,Tenis,Anna Kalinskaya,ML,Wags,WTA Tour,Charleston 500 - QF,Sofia Kenin v Anna Kalinskaya,N,2-0,1.0,2.1,N,L,-1.0,-15.00,15.0
2025-04-04,N,Betano,Tenis,Christopher Eubanks +3.5,Handicap games,Wags,ATP Tour,Houston 250 - QF,Christopher Eubanks v Brandon Nakashima,N,0-2,1.0,2.12,N,L,-1.0,-15.00,15.0
2025-04-05,N,bet365,Tenis,1° set - Marton Fucsovics,Set ML,Sam Culmer,ATP Tour,Bucharest 250 - SF,Sebastian Baez v Marton Fucsovics,N,2-0,1.5,2.2,N,L,-1.5,-22.50,15.0
2025-04-05,N,Betano,Tenis,1° set - Over 10.5,O/U games,Sam Culmer,ATP Tour,Marrakesh 250 - SF,Tallon Griekspoor v Kamil Majchrzak,N,2-0,0.5,3.05,N,W,1.025,15.38,15.0
2025-04-05,N,Betano,Tenis,1° set - Kamil Majchrzak +1.5,Handicap games,Sam Culmer,ATP Tour,Marrakesh 250 - SF,Tallon Griekspoor v Kamil Majchrzak,N,2-0,1.0,1.8,N,L,-1.0,-15.00,15.0
2025-04-05,N,bet365,Futebol,Vinicius Jr. - Over 0.5,O/U chutes no gol,,La Liga,Liga,Real Madrid v Valencia,N,1-2,4.6667,2.0,N,W,4.6667,70.00,15.0
2025-04-05,N,Superbet,Tenis,1° set - Ekaterina Alexandrova,Set ML,Sam Culmer,WTA Tour,Charleston 500 - SF,Jessica Pegula v Ekaterina Alexandrova,N,2-1,1.0,2.4,N,L,-1.0,-15.00,15.0
2025-04-07,N,bet365,Tenis,1° set - Stanislas Wawrinka,Set ML,Sam Culmer,ATP Tour,Monte Carlo 1000 - R64,Stanislas Wawinka v Alejandro Tabilo,N,1-2,2.0,2.0,N,W,1.0,30.00,15.0
2025-04-07,N,bet365,Tenis,1° set - Karen Khachanov,Set ML,Sam Culmer,ATP Tour,Monte Carlo 1000 - R64,Daniil Medvedev v Karen Khachanov,N,2-1,1.0,2.3,N,L,-1.0,-15.00,15.0
2025-04-07,N,Superbet,Tenis,Karen Khachanov,ML,Sam Culmer,ATP Tour,Monte Carlo 1000 - R64,Daniil Medvedev v Karen Khachanov,N,2-1,1.0,2.45,N,L,-1.0,-15.00,15.0
